time,seconds_elapsed,accel_z,accel_y,accel_x,gyro_x,gyro_y,gyro_z
1772808249952703200,0.080703125,-0.5218839394658804,-0.0811132258489727,0.2454444678064435,0.2894138693809509,-0.4038256704807281,0.0904120579361915
1772808249972752100,0.100752197265625,-0.300698518320918,0.0856482389301061,0.4673679209023714,0.4752715826034546,-0.5019733309745789,0.1759276539087295
1772808249992801300,0.12080126953125,-0.7495709975898266,-0.0644052521541714,0.1280683807041496,0.5157172679901123,-0.609352707862854,0.2356707453727722
1772808250012850000,0.140849853515625,0.009873159238696,-0.0057072717308998,-0.1876112875189632,0.4547368884086609,-0.3325685560703277,0.146559864282608
1772808250032899000,0.160899169921875,0.0910702639788389,-0.2585176651954651,-0.3184961869485676,0.3936043679714203,-0.0204400401562452,0.0083526819944381
1772808250052948200,0.1809482421875,0.7267886724174022,-0.3964958108216523,-0.5417422669503837,0.1812342703342437,0.3653128445148468,-0.1092691868543624
1772808250072997000,0.2009970703125,1.198611234641075,-0.5284948820382356,-0.7186210749875753,-0.1106080934405326,0.6388154029846191,-0.2859653830528259
1772808250093045200,0.221045166015625,0.8371995966821908,-0.3040180181324481,-0.3761652627155185,-0.1976763755083084,0.4241535365581512,-0.4952992796897888
1772808250113094100,0.24109423828125,0.1642103189915418,-0.2725932445600628,0.0807377436000853,0.0057400818914175,-0.1134238243103027,-0.5685262680053711
1772808250133143300,0.261143310546875,0.0403156437754631,-0.0064350014835596,0.1332251058802008,0.2763483822345733,-0.5060808658599854,-0.502521812915802
1772808250153192000,0.28119189453125,0.1826134061664343,0.1816805092304944,-0.1489861541137099,0.4509827792644501,-0.4633657336235046,-0.4946179091930389
1772808250173241000,0.301240966796875,0.3559218083709478,0.1862526394516229,-0.2203469244942069,0.4701856672763824,-0.180485188961029,-0.478465586900711
1772808250193290200,0.321290283203125,0.9229583102494476,0.1663502536296844,-0.2736112624961883,0.2413357347249984,0.2309818714857101,-0.4334813952445984
1772808250213339100,0.341339111328125,1.140204638379812,-0.0796171420723199,-0.1932213824857026,-0.0593788214027881,0.5662785172462463,-0.4251517057418823
1772808250233388300,0.36138818359375,0.718223088645935,-0.0199327809602022,0.2667504733486101,-0.2029284834861755,0.4289398491382599,-0.3893001675605774
1772808250253437000,0.38143701171875,0.8927788605630397,0.1069341880649328,0.3567009760499,-0.1047737300395965,0.2509419322013855,-0.3054710030555725
1772808250273486000,0.401486083984375,0.8781757501929998,0.2052156985968351,0.186823132815957,-0.1023825779557228,0.265298068523407,-0.1948393136262893
1772808250293535200,0.42153515625,1.0862123514294624,0.0658417146980762,0.1963821480715647,-0.2376266866922378,0.3345555067062378,-0.1160062104463577
1772808250313584000,0.441584228515625,0.8280997599035501,0.1168897648900747,0.3806418601403012,-0.3213979601860046,0.2266329675912857,-0.0051862439140677
1772808250333633300,0.46163330078125,0.4440104261904954,0.2583639359384775,0.1875756316836923,-0.2786130905151367,0.0446463078260421,0.0558513402938842
1772808250353682000,0.481681884765625,0.4836696518838405,0.4005979854434728,-0.0755896492550615,-0.2192065268754959,0.0072176270186901,0.0020082129631191
1772808250373731000,0.50173095703125,0.4193313274860382,0.373407780700922,0.0162467950569931,-0.1610964387655258,0.053639430552721,-0.0430523231625556
1772808250393780200,0.5217802734375,0.4177840980440378,0.2901385458618402,0.348467839103192,-0.0976423323154449,0.1287580132484436,0.0584467723965644
1772808250413829000,0.5418291015625,0.751569477930665,0.330756971976161,0.3128772510882467,-0.0346927382051944,0.1956392377614975,0.1056527569890022
1772808250433878300,0.561878173828125,1.0429343507170676,0.2867503647282719,0.2128919871120713,-0.0639949664473533,0.1118380799889564,0.034394022077322
1772808250453927200,0.58192724609375,0.946912017288804,0.5546846775665879,-0.0317575720235938,0.0035207427572458,-0.011102077551186,-0.1336879730224609
1772808250473976000,0.60197607421875,1.1258300760686395,0.8928066253527999,0.0251780383696546,0.0844770222902298,-0.1518851816654205,-0.2426943629980087
1772808250494025500,0.622025390625,1.3274994803607465,1.055686572523415,0.1379427729187067,0.0440392270684242,-0.1928399503231048,-0.1444886475801468
1772808250514074400,0.642074462890625,1.2576859394222497,1.563095119652152,-0.4190572963176295,0.1110177189111709,-0.1941973119974136,-0.0424546711146831
1772808250534123500,0.66212353515625,1.1855167752683162,1.6778724224328994,-0.4113603120742365,0.4073728919029236,-0.1929825991392135,0.0426023975014686
1772808250554172400,0.68217236328125,1.862068713876605,1.628548127293587,-0.4485044496741145,0.5869531035423279,-0.1974890381097793,0.1014385521411895
1772808250574220500,0.702220458984375,2.587837980118394,1.534438934010267,-0.3173114341434091,0.6375009417533875,-0.1281487792730331,0.1462891995906829
1772808250594269400,0.72226953125,2.900558360144496,1.1263047078430652,-0.3052602550121955,0.5019093155860901,-0.0436831042170524,0.1029790341854095
1772808250614318300,0.742318359375,2.106352686536312,0.5754062708169222,-0.5524241852886974,0.2926770150661468,-0.0585039295256137,-0.0611505471169948
1772808250634367500,0.762367431640625,0.2553554017722606,-0.0469429529607295,-0.5678150119703262,0.2333474606275558,-0.0123611781746149,-0.167930394411087
1772808250654416400,0.78241650390625,-1.6830717446416616,-0.5132692558556795,-0.7512188378620892,0.4126763939857483,0.0839737877249717,-0.226642906665802
1772808250674465500,0.802465576171875,-2.9929753625571727,-1.2572025398194788,-0.7072666642151773,0.6512475609779358,0.0838267654180526,-0.1398788392543792
1772808250694514400,0.822514404296875,-3.663470485344529,-2.0484961253732443,-1.1063105520844458,0.8371789455413818,0.0861762091517448,-0.1570417881011963
1772808250714563300,0.842563232421875,-4.289760555702448,-3.344078372469544,-1.323467302235216,0.8875214457511902,0.1489867568016052,-0.2937241196632385
1772808250734612500,0.862612548828125,-4.906536363261938,-4.568773311915994,-1.4458575642377138,0.7323941588401794,0.0315894037485122,-0.5561441779136658
1772808250754661400,0.882661376953125,-6.503837703898549,-5.756210826113819,-0.919149930942431,0.8068128228187561,-0.1051977053284645,-0.5981348752975464
1772808250774710500,0.90271044921875,-7.706459927746653,-6.841428905808925,-0.4796463511845096,0.9776519536972046,-0.1037491485476493,-0.5328996181488037
1772808250794759400,0.922759521484375,-8.251386889147758,-8.08618171389997,0.0861671117050573,0.962313711643219,-0.1064058765769004,-0.4794460535049438
1772808250814808300,0.942808349609375,-8.394302491176127,-8.981655220374465,0.5976000555116683,0.7295149564743042,-0.0242772679775953,-0.3607999682426452
1772808250834857500,0.962857421875,-8.792381771796942,-8.902973897847533,0.9918282867275178,0.7004926204681396,0.0301345083862543,-0.1823575943708419
1772808250854906400,0.98290625,-7.340611184123158,-7.631356463706493,0.357695978436619,0.6827430725097656,0.2314327806234359,-0.1348060965538025
1772808250874955500,1.00295556640625,-5.040020704600215,-5.7385927518367765,0.5809956517891958,0.5674692392349243,0.0622422732412815,-0.0401698090136051
1772808250895004400,1.02300439453125,-3.011519904029369,-2.738845118665695,0.3641561143614351,0.5920981764793396,-0.5034304261207581,0.0511216036975383
1772808250915053300,1.04305322265625,0.9555185175925492,1.6697598431259393,-0.3373305051475763,0.6796159148216248,-0.09623534232378,0.1088218763470649
1772808250935102500,1.0631025390625,3.580557224336266,4.660301256534457,0.2689018974951468,0.7414694428443909,-0.168501004576683,0.1351079195737838
1772808250955151400,1.0831513671875,6.237725345790386,6.319249782788753,0.6999540761794895,0.5242342948913574,-0.4364533722400665,0.1770539134740829
1772808250975200500,1.103200439453125,6.786639331001043,7.669760720902681,0.0059299928371794,0.2066785097122192,-0.3766166865825653,-0.0833621323108673
1772808250995249400,1.12324951171875,5.918382332754135,8.635117326420545,0.3660933660343289,0.2211704552173614,-0.090566761791706,-0.2095356285572052
1772808251015298300,1.14329833984375,5.587824098220468,9.081301004996895,1.108747643038258,0.3194416761398315,-0.0238835904747247,-0.0935621038079261
1772808251035346400,1.163346435546875,6.390908659332991,9.346422013980147,1.2080620768144723,0.3675492405891418,-0.0039360667578876,0.0365140065550804
1772808251055395300,1.183395263671875,6.921144832080603,9.241917098888754,1.0687950604215264,0.210371732711792,-0.2816692292690277,0.064514547586441
1772808251075444500,1.203444580078125,7.162920036789775,9.191841693121194,0.5259672632567585,-0.0321280807256698,-0.3060728311538696,-0.0398082174360752
1772808251095493400,1.223493408203125,6.794637344017625,9.055832801741362,0.3220494589833542,-0.2545420229434967,-0.0592090301215648,-0.1035744994878768
1772808251115542500,1.24354248046875,6.230479027923941,8.928637331414222,0.8282740935571491,-0.3182807266712188,0.1179632917046547,0.0311636347323656
1772808251135591400,1.26359130859375,5.598378225460648,8.732254927614331,0.9518393176231532,-0.1684606969356537,-0.0566386915743351,0.1850821673870086
1772808251155640300,1.283640380859375,5.889338024577498,8.329532205101847,0.7697806227300316,-0.1202142462134361,-0.1324901580810547,0.3118632435798645
1772808251175689500,1.303689453125,6.040699967911839,7.847706135258078,0.4397055686034262,-0.1823225915431976,0.1051092967391014,0.3992828130722046
1772808251195738400,1.32373828125,5.893103514590859,7.006124962490796,0.4460483617588877,-0.1771360784769058,0.1517204046249389,0.4895642101764679
1772808251215787500,1.34378759765625,5.983267769640684,5.585380212199688,0.2033774137863889,-0.4376614093780517,-0.1693468391895294,0.485304445028305
1772808251235836400,1.36383642578125,4.967279878038168,3.8337855509519576,-0.1959319566186517,-0.9752175211906432,-0.5114909410476685,0.3589661717414856
1772808251255885300,1.38388525390625,0.9946604414135216,1.0991513279795646,-0.8498027654066681,-1.814835786819458,-0.9547781944274902,0.1129129454493522
1772808251275934500,1.4039345703125,-6.526901184099912,-2.587369193562865,-1.999443779043108,-2.135091543197632,-0.7414316534996033,-0.1365608274936676
1772808251295983400,1.4239833984375,-14.857095652502776,-6.589287789908052,-2.6603268777459856,-1.1761339902877808,-0.1141161695122718,-0.1556707024574279
1772808251316032500,1.444032470703125,-18.680303695338964,-11.764143665933608,-2.735604529309273,-0.0959781631827354,0.2727440893650055,0.2254912555217743
1772808251336081400,1.464081298828125,-18.290828576934334,-17.06738217624426,-3.319047391587496,0.9447812438011168,0.4402401447296142,0.7485537528991699
1772808251356130300,1.48413037109375,-15.857447583556176,-20.845378619956968,-3.704485217300057,1.9967314004898071,-0.0585664026439189,1.1250494718551636
1772808251376179500,1.504179443359375,-11.966833645445108,-22.894878369414805,-4.667410796278715,1.9534728527069087,-0.6635396480560303,0.9653491377830504
1772808251396228400,1.524228271484375,-11.223776559793947,-21.66445277736187,-6.524995642739534,1.4928433895111084,-0.7250635027885437,0.1275675296783447
1772808251416277500,1.544277587890625,-11.051696822601556,-17.030459097516534,-7.117410916024446,1.2783797979354858,0.3589451014995575,-0.8247042894363403
1772808251436326400,1.564326416015625,-9.575169979333875,-10.752052197247744,-4.454778976206481,1.1819324493408203,0.8090293407440186,-1.695497751235962
1772808251456375300,1.584375244140625,-6.291925138011575,-4.732086974328756,0.7867496585138142,1.177525281906128,0.3516485095024109,-1.7561553716659546
