time,seconds_elapsed,accel_z,accel_y,accel_x,gyro_x,gyro_y,gyro_z
1.7726356283700273e+18,0.31502734375,-0.0567115545272827,0.0345010757446289,0.1038517951965332,-0.0259657986462116,-0.0135821104049682,0.0007989476434886
1.7726356283900209e+18,0.335020751953125,-0.0622869729995727,0.1173515319824218,0.2109022140502929,-0.0262321140617132,-0.0303600095212459,0.0010652635246515
1.7726356284100147e+18,0.3550146484375,-0.0033734440803527,0.1175727844238281,0.2992095947265625,-0.0233026389032602,-0.0314252749085426,-0.0074568446725606
1.7726356284300083e+18,0.37500830078125,-0.0236089825630188,0.0369834899902343,0.3158037662506103,-0.0271642208099365,-0.0476705431938171,-0.0082557927817106
1.7726356284500022e+18,0.395002197265625,-0.0413694977760314,-0.0275945663452148,0.2977950572967529,-0.0380831696093082,-0.0617852844297885,0.0
1.7726356284699958e+18,0.414995849609375,-0.0324854850769043,-0.0132417678833007,0.2511296272277832,-0.0444747507572174,-0.0639158114790916,-0.0023968429304659
1.7726356284899896e+18,0.43498974609375,-0.0345311760902404,-0.0127143859863281,0.2310879230499267,-0.0420779101550579,-0.0508663319051265,-0.0063915811479091
1.7726356285099832e+18,0.454983154296875,-0.0242376923561096,-0.0109462738037109,0.2748589515686035,-0.0374173820018768,-0.040480013936758,-0.0026631588116288
1.772635628529977e+18,0.47497705078125,0.004568874835968,-0.0027809143066406,0.2996954917907715,-0.017710005864501,-0.0380831696093082,-0.0007989476434886
1.7726356285499707e+18,0.494970703125,-0.0025902986526489,0.0545873641967773,0.3517513275146484,-0.0057257916778326,-0.023169482126832,-0.0013315794058144
1.7726356285699645e+18,0.514964599609375,0.0267631411552429,0.0896358489990234,0.3433806896209717,-0.0106526352465152,0.0045273699797689,0.0002663158811628
1.7726356285899581e+18,0.534958251953125,0.1075881719589233,0.045074462890625,0.1830501556396484,-0.0089215822517871,0.0306263267993927,0.0010652635246515
1.7726356286099517e+18,0.55495166015625,0.1076008379459381,0.0214195251464843,-0.0015037059783935,0.0025300008710473,0.0391484349966049,-0.0098536871373653
1.7726356286299456e+18,0.574945556640625,0.1385225355625152,0.0135259628295898,-0.1469538211822509,0.0219710599631071,0.0508663319051265,-0.032490536570549
1.7726356286499392e+18,0.594939208984375,0.2280125021934509,0.0920133590698242,-0.2887177467346191,0.0246342197060585,0.0788294970989227,-0.0527305454015731
1.772635628669933e+18,0.61493310546875,0.2647784948348999,0.2510766983032226,-0.3417329788208008,0.0011984214652329,0.1267663538455963,-0.0671116039156913
